category,min,max,mean,stddev,sum,count
South Street,11059.0,78170.0,35198.3333333,37309.0359609,105595.0,3
Kent Street,24459.0,41738.0,33098.5,12218.0980721,66197.0,2
Longwood Medical Area,430.0,46366.0,13813.8,18480.2648845,69069.0,5
Central Avenue,120.0,7198.0,2744.6,2842.83437787,13723.0,5
Arlington,12162.0,62665.0,37413.5,35711.0137703,74827.0,2
Harvard Avenue,228.0,71049.0,45228.8,27822.5883357,226144.0,5
Wood Island,331.0,26137.0,13234.0,18247.5975953,26468.0,2
Capen Street,11680.0,11680.0,11680.0,nan,11680.0,1
Beachmont,226.0,13594.0,6194.0,5926.28787691,24776.0,4
Ashmont,51513.0,51513.0,51513.0,nan,51513.0,1
Maverick,9965.0,107836.0,58900.5,69205.2477815,117801.0,2
Porter,121.0,40833.0,15640.1666667,17193.0577899,93841.0,6
Boston University Central,1243.0,17300.0,11539.3333333,8937.89775805,34618.0,3
Boylston,1310.0,34495.0,23425.3333333,19152.4442391,70276.0,3
Mattapan,201.0,39404.0,19802.5,27720.7071429,39605.0,2
Warren Street,3097.0,159378.0,49967.0,74163.9059606,199868.0,4
Aquarium,38.0,73039.0,32089.3333333,37305.1169725,96268.0,3
JFK/UMass,7071.0,29331.0,18201.0,15740.1969492,36402.0,2
Prudential,6959.0,141599.0,83813.5,66570.8066973,335254.0,4
Bowdoin,112.0,59551.0,20076.3333333,34186.817786,60229.0,3
Packards Corner,3749.0,111186.0,49493.75,45950.6575678,197975.0,4
Chinatown,444.0,279072.0,125240.5,143051.19562,500962.0,4
Shawmut,16604.0,21395.0,18999.5,3387.74858866,37999.0,2
Newton Highlands,45.0,17316.0,8680.5,12212.4412179,17361.0,2
Oak Grove,19103.0,31025.0,25064.0,8430.12704531,50128.0,2
Boston University East,13967.0,46978.0,30472.5,23342.3019537,60945.0,2
Griggs Street,6693.0,93545.0,59677.25,37197.0049186,238709.0,4
Sullivan Square,8208.0,8208.0,8208.0,nan,8208.0,1
Northeastern,818.0,58690.0,29754.0,40921.6836408,59508.0,2
Brandon Hall,67235.0,101071.0,84153.0,23925.6650482,168306.0,2
Copley,61335.0,151762.0,106548.5,63941.5449024,213097.0,2
Broadway,38866.0,38866.0,38866.0,nan,38866.0,1
Eliot,193.0,193.0,193.0,nan,193.0,1
Kenmore,77123.0,77340.0,77231.5,153.442171517,154463.0,2
Massachusetts Ave,42903.0,152295.0,97599.0,77351.8250076,195198.0,2
Chestnut Hill Avenue,631.0,242828.0,120419.0,121119.771024,361257.0,3
Tufts Medical Center,4175.0,48291.0,25861.3333333,22067.3916069,77584.0,3
State,550.0,216285.0,86597.0,114296.982537,259791.0,3
Downtown Crossing,12998.0,72542.0,42770.0,42103.966179,85540.0,2
