category,min,max,mean,stddev,sum,count
South Street,255580.0,2820415.0,1694154.0,1310629.31517,5082462.0,3
Kent Street,10333806.0,25616414.0,17975110.0,10806435.751,35950220.0,2
Central Avenue,150640.0,5256465.0,1540372.6,2099933.46444,7701863.0,5
Arlington,16824418.0,21236732.0,19030575.0,3119977.15012,38061150.0,2
Woodland,4496452.0,6888054.0,5692253.0,1691117.9921,11384506.0,2
Harvard Avenue,9080.0,9080.0,9080.0,nan,9080.0,1
Wood Island,97986.0,1702068.0,900027.0,1134257.25978,1800054.0,2
Capen Street,8530104.0,8530104.0,8530104.0,nan,8530104.0,1
Beachmont,127732.0,3052361.0,1344532.5,1408283.51569,5378130.0,4
Ashmont,12214839.0,12214839.0,12214839.0,nan,12214839.0,1
Maverick,345912.0,7013597.0,3679754.5,4714765.27832,7359509.0,2
Porter,12853.0,12108462.0,4055444.0,4416637.91873,24332664.0,6
Boston University Central,62998.0,62998.0,62998.0,nan,62998.0,1
Boylston,546558.0,50728811.0,21045083.0,26321865.3338,63135249.0,3
Mattapan,146752.0,3096452.0,1621602.0,2085752.87247,3243204.0,2
Warren Street,360095.0,3876141.0,1642862.0,1941197.99741,4928586.0,3
Aquarium,3376398.0,24030539.0,13703468.5,14604683.1607,27406937.0,2
JFK/UMass,2930248.0,3820687.0,3375467.5,629635.455133,6750935.0,2
Prudential,1821463.0,15072827.0,8447145.0,9370129.34437,16894290.0,2
Bowdoin,8631.0,98979.0,53805.0,63885.6834666,107610.0,2
Packards Corner,2521010.0,2521010.0,2521010.0,nan,2521010.0,1
Chinatown,152890.0,55077394.0,27615142.0,38837489.2317,55230284.0,2
Shawmut,6288698.0,7750327.0,7019512.5,1033527.77748,14039025.0,2
Newton Highlands,109208.0,15235732.0,7672470.0,10696067.6962,15344940.0,2
Oak Grove,3381029.0,3747748.0,3564388.5,259309.49169,7128777.0,2
Boston University East,2380843.0,2380843.0,2380843.0,nan,2380843.0,1
Griggs Street,266006.0,266006.0,266006.0,nan,266006.0,1
Sullivan Square,1344961.0,1344961.0,1344961.0,nan,1344961.0,1
Northeastern,62870.0,62870.0,62870.0,nan,62870.0,1
Brandon Hall,8057590.0,27449310.0,17753450.0,13712016.7109,35506900.0,2
Copley,16467317.0,16467317.0,16467317.0,nan,16467317.0,1
Broadway,5458960.0,5458960.0,5458960.0,nan,5458960.0,1
Eliot,97399.0,13998299.0,7047849.0,9829420.6546,14095698.0,2
Kenmore,2617787.0,3510735.0,3064261.0,631409.586047,6128522.0,2
Massachusetts Ave,12584899.0,12584899.0,12584899.0,nan,12584899.0,1
Chestnut Hill Avenue,14594.0,5145214.0,2727811.33333,2578070.04053,8183434.0,3
Tufts Medical Center,3149745.0,10482247.0,6815996.0,5184861.88726,13631992.0,2
State,80132.0,80132.0,80132.0,nan,80132.0,1
Downtown Crossing,9936372.0,9936372.0,9936372.0,nan,9936372.0,1
Hynes Convention Center,5190779.0,33776364.0,19483571.5,20213060.9977,38967143.0,2
Fields Corner,469819.0,3712047.0,2484516.33333,1758617.10495,7453549.0,3
Butler,2092777.0,2092777.0,2092777.0,nan,2092777.0,1
Kendall/MIT,1662884.0,1662884.0,1662884.0,nan,1662884.0,1
Fenwood Road,942154.0,942154.0,942154.0,nan,942154.0,1
Forest Hills,24988.0,2890750.0,1043014.66667,1602953.62185,3129044.0,3
Alewife,4248175.0,4248175.0,4248175.0,nan,4248175.0,1
Cleveland Circle,6374.0,16580436.0,5355503.25,7662098.14015,21422013.0,4
Harvard,47375.0,3882768.0,1965071.5,2712032.39882,3930143.0,2
Back Bay,880309.0,45555297.0,23217803.0,31589986.9642,46435606.0,2
Suffolk Downs,4980911.0,4980911.0,4980911.0,nan,4980911.0,1
Summit Ave/Winchester St,7555953.0,15867263.0,11444316.3333,4181363.77086,34332949.0,3
Tappan Street,1538883.0,11223704.0,6386916.0,4907871.89481,25547664.0,4
Riverway,1870.0,6776623.0,2798371.0,3538604.40319,8395113.0,3
Central,187.0,4965759.0,2852936.33333,2564146.04222,8558809.0,3
North Quincy,1752466.0,2949801.0,2351133.5,846643.697852,4702267.0,2
Mission Park,3605282.0,3605282.0,3605282.0,nan,3605282.0,1
Savin Hill,98390.0,1458677.0,533310.5,626568.561671,2133242.0,4
Valley Road,540307.0,6623969.0,2711969.66667,3394748.09339,8135909.0,3
Dean Road,9874441.0,11418164.0,10646302.5,1091577.00157,21292605.0,2
Davis,510205.0,9091185.0,5390192.5,3643105.81339,21560770.0,4
Chestnut Hill,415691.0,5686502.0,3051096.5,3727026.20045,6102193.0,2
Roxbury Crossing,3142860.0,3142860.0,3142860.0,nan,3142860.0,1
Saint Marys Street,1785484.0,8373437.0,5079460.5,4658386.24044,10158921.0,2
Washington Street,1022369.0,3073973.0,1731225.0,1163457.79638,5193675.0,3
Back Of The Hill,1799.0,8819355.0,2972567.5,4143665.57834,11890270.0,4
Wonderland,2966454.0,2966454.0,2966454.0,nan,2966454.0,1
Orient Heights,1563599.0,2491535.0,2027567.0,656149.838107,4055134.0,2
Riverside,3273291.0,3273291.0,3273291.0,nan,3273291.0,1
Newton Centre,14219653.0,14219653.0,14219653.0,nan,14219653.0,1
Coolidge Corner,5718598.0,24937669.0,13369716.3333,10190650.9077,40109149.0,3
Babcock Street,14846147.0,14846147.0,14846147.0,nan,14846147.0,1
Science Park,1371804.0,13772423.0,7572113.5,8768561.78581,15144227.0,2
Hawes Street,3705967.0,17414077.0,10433450.3333,6857560.14217,31300351.0,3
Haymarket,70205.0,70205.0,70205.0,nan,70205.0,1
Waban,657023.0,11640929.0,4354391.66667,6310558.33842,13063175.0,3
Wellington,4518007.0,4518007.0,4518007.0,nan,4518007.0,1
South Station,10756183.0,10756183.0,10756183.0,nan,10756183.0,1
Boston University West,8269798.0,8269798.0,8269798.0,nan,8269798.0,1
Pleasant Street,8068585.0,8068585.0,8068585.0,nan,8068585.0,1
Ruggles,492667.0,492667.0,492667.0,nan,492667.0,1
Braintree,1336981.0,1336981.0,1336981.0,nan,1336981.0,1
Heath Street,1396303.0,5279914.0,3692801.33333,2036671.21006,11078404.0,3
Sutherland Road,186980.0,4952638.0,3041311.75,2173889.21573,12165247.0,4
Reservoir,1102465.0,19740734.0,7901562.0,10290677.0833,23704686.0,3
Charles/MGH,23225735.0,23225735.0,23225735.0,nan,23225735.0,1
Chiswick Road,552674.0,4320440.0,2171365.5,1645248.07222,8685462.0,4
Jackson Square,970521.0,970521.0,970521.0,nan,970521.0,1
Revere Beach,125308.0,2584173.0,1354740.5,1738680.11552,2709481.0,2
Brigham Circle,3497612.0,3497612.0,3497612.0,nan,3497612.0,1
Englewood Avenue,95048.0,11235985.0,7045654.33333,6061720.92945,21136963.0,3
Symphony,2042758.0,8342510.0,5192634.0,4454597.35899,10385268.0,2
Saint Paul Street,1480879.0,22105550.0,10177032.0,8956149.4719,50885160.0,5
Washington Square,388172.0,12548716.0,5951216.75,5695261.61025,23804867.0,4
Beaconsfield,25134741.0,25134741.0,25134741.0,nan,25134741.0,1
Brookline Village,9653.0,12071888.0,6040770.5,8529288.16477,12081541.0,2
Stony Brook,1938453.0,4513898.0,3357422.5,1112946.19619,13429690.0,4
Green Street,2644617.0,8978696.0,5811656.5,4478870.21347,11623313.0,2
Quincy Center,2181277.0,3289453.0,2735365.0,783598.764348,5470730.0,2
Andrew,1666496.0,3117589.0,2392042.5,1026077.70043,4784085.0,2
Fenway Park,3111961.0,5006085.0,4059023.0,1339347.92481,8118046.0,2
Cedar Grove,1118441.0,1879234.0,1498837.5,537961.889379,2997675.0,2
North Station,2384476.0,2384476.0,2384476.0,nan,2384476.0,1
Lechmere,1046183.0,25789605.0,9467165.0,14138034.2326,28401495.0,3
Brookline Hills,1662342.0,15122174.0,8392258.0,9517538.48083,16784516.0,2
Milton,431636.0,2999850.0,1308205.0,1465330.15112,3924615.0,3
Community College,261240.0,1303418.0,782329.0,736931.131003,1564658.0,2
Boston College,7610.0,4664309.0,1670604.8,2019024.75328,8353024.0,5
Quincy Adams,70177.0,5453322.0,1892281.33333,3084232.0278,5676844.0,3
Airport,166617.0,993291.0,579954.0,584546.791231,1159908.0,2
Fairbanks Street,8044489.0,27478608.0,17761548.5,13741997.3313,35523097.0,2
Longwood,21446.0,20602307.0,11453093.3333,10478553.6911,34359280.0,3
Blandford Street,2851156.0,2851156.0,2851156.0,nan,2851156.0,1
Allston Street,1620144.0,2182539.0,1901341.5,397673.318205,3802683.0,2
Park Street,11748368.0,11748368.0,11748368.0,nan,11748368.0,1
Wollaston,1599631.0,6059660.0,3498746.66667,2302487.08659,10496240.0,3
Malden Center,2126.0,3327793.0,988457.5,1576862.99144,3953830.0,4
