category,min,max,mean,stddev,sum,count
South Street,405939.413874,1633433.25465,890322.93792,653368.155961,2670968.81376,3
Kent Street,1697590.58021,4505024.905,3101307.7426,1985155.8488,6202615.48521,2
Longwood Medical Area,12285.035649,1548561.72659,569647.265904,673371.971069,2278589.06361,4
Central Avenue,42639.061889,362487.72919,221732.066685,132508.988329,886928.266739,4
Arlington,3130694.80393,5949720.135,4540207.46947,1993351.92793,9080414.93893,2
Woodland,1154124.49478,1154124.49478,1154124.49478,nan,1154124.49478,1
Harvard Avenue,10763.33613,2182686.968,1267826.72811,874378.587424,6339133.64053,5
Wood Island,36634.60125,1769911.95987,903273.28056,1225612.17396,1806546.56112,2
Beachmont,55132.918812,1040858.3115,451836.483715,463765.56043,1807345.93486,4
Ashmont,4914751.58724,4914751.58724,4914751.58724,nan,4914751.58724,1
Maverick,432644.619168,6318663.26299,3375653.94108,4162043.69724,6751307.88216,2
Porter,8456.188203,3315405.38922,1364855.22956,1373699.18279,8189131.37734,6
Boston University Central,32518.722165,997810.923294,433458.944096,502966.012967,1300376.83229,3
Boylston,50901.351132,3254100.04696,1652500.69904,2265003.51931,3305001.39809,2
Mattapan,1604133.27558,1604133.27558,1604133.27558,nan,1604133.27558,1
Warren Street,155004.19805,4547896.10912,1407400.56274,2111289.37583,5629602.25097,4
Aquarium,1944368.52116,6993856.82081,4469112.67098,3570527.4182,8938225.34197,2
JFK/UMass,1053456.71719,1356884.20994,1205170.46357,214555.637717,2410340.92713,2
Prudential,144340.354983,6988313.91737,4344432.03437,3677816.63878,13033296.1031,3
Bowdoin,6231.7275,41435.8786,23833.80305,24893.0939687,47667.6061,2
Packards Corner,455556.324552,2580554.19972,1207406.83905,951403.590797,4829627.35622,4
Chinatown,41949.804252,222064.972723,132007.388488,127360.65702,264014.776975,2
Shawmut,1855473.86416,2984339.9213,2419906.89273,798228.844057,4839813.78546,2
Newton Highlands,25296.26944,3575440.84743,1800368.55844,2510331.30529,3600737.11687,2
Oak Grove,1665166.54535,1923107.90211,1794137.22373,182392.082516,3588274.44746,2
Boston University East,218030.425737,1228958.8074,723494.616566,714834.313964,1446989.23313,2
Griggs Street,37059.017809,3378708.24819,1631830.54487,1414754.5147,8159152.72433,5
Sullivan Square,838768.544245,838768.544245,838768.544245,nan,838768.544245,1
Northeastern,1307246.9375,1307246.9375,1307246.9375,nan,1307246.9375,1
Brandon Hall,6206438.93556,6628681.81746,6417560.37651,298570.805099,12835120.753,2
Copley,5823436.33575,6521120.25554,6172278.29564,493337.030805,12344556.5913,2
Broadway,3412109.41786,3412109.41786,3412109.41786,nan,3412109.41786,1
Eliot,30448.85748,2970635.56125,1500542.20936,2079025.95619,3001084.41873,2
Kenmore,2392451.32905,2536481.85586,2464466.59245,101844.962205,4928933.1849,2
Massachusetts Ave,1735013.02961,9100670.22315,5417841.62638,5208306.14944,10835683.2528,2
Chestnut Hill Avenue,23180.031138,8740627.50706,3741764.70569,4497533.40014,11225294.1171,3
Tufts Medical Center,106232.077224,1638576.76275,907009.515326,768513.237807,2721028.54598,3
State,46145.763504,10719383.0426,5382764.40305,7547118.45726,10765528.8061,2
Downtown Crossing,445105.381,5471904.62,2958505.0005,3554483.82956,5917010.001,2
Hynes Convention Center,53660.735708,6125264.00246,2025519.81627,2805808.81793,8102079.26507,4
Fields Corner,609028.8437,1427690.33766,1149968.08662,468523.264133,3449904.25986,3
Butler,1280428.87852,1280428.87852,1280428.87852,nan,1280428.87852,1
Kendall/MIT,297415.264097,779246.443036,538330.853567,340706.094015,1076661.70713,2
Fenwood Road,221855.843059,1411779.49817,803288.904492,486053.190575,3213155.61797,4
Forest Hills,20022.446881,2282067.9256,798601.430341,1285247.92945,2395804.29102,3
Alewife,2257732.23716,2257732.23716,2257732.23716,nan,2257732.23716,1
Cleveland Circle,8450.5275,3324978.069,1132854.73492,1504011.71738,4531418.93969,4
Harvard,15860.044192,2267415.29813,1141637.67116,1592089.98828,2283275.34233,2
Back Bay,408143.628858,12088025.0638,4321099.03565,6726419.90559,12963297.107,3
Suffolk Downs,3060142.62627,3060142.62627,3060142.62627,nan,3060142.62627,1
Summit Ave/Winchester St,1794336.31591,6216003.3206,3866004.81578,2223934.68178,11598014.4473,3
Tappan Street,526339.05144,3225222.63813,1643395.89528,1298868.87014,6573583.58113,4
Riverway,1195258.61226,2705764.376,1707934.16012,864255.867495,5123802.48036,3
Central,57.445567,2417937.0215,1453233.24575,1110837.02774,5812932.98302,4
North Quincy,760053.018568,1065085.68146,912569.350016,215690.664417,1825138.70003,2
Mission Park,1064176.47128,1801429.52009,1435039.94579,368646.885693,4305119.83737,3
Savin Hill,75680.262686,726061.490976,252096.03259,316822.664751,1008384.13036,4
Valley Road,237731.475069,245299.397364,241515.436217,5351.32917429,483030.872433,2
Dean Road,2562334.17981,3377321.54158,2969827.86069,576283.090087,5939655.72138,2
Davis,156995.425,4844238.07222,2326933.12189,1924373.75067,9307732.48755,4
Chestnut Hill,45744.444609,839300.025179,442522.234894,561128.532269,885044.469788,2
Roxbury Crossing,34543.279992,1772488.45125,903515.865621,1228912.81593,1807031.73124,2
Saint Marys Street,1132556.30937,2165964.51554,1528440.16547,557472.623893,4585320.49641,3
Washington Street,175091.86943,3805952.32118,1416936.53184,1638365.1972,5667746.12736,4
Back Of The Hill,22230.923325,3521384.557,1940529.51911,1773815.1409,5821588.55732,3
Wonderland,1258178.97255,1258178.97255,1258178.97255,nan,1258178.97255,1
Orient Heights,532566.592272,1413920.05637,973243.324324,623211.011089,1946486.64865,2
Riverside,597952.969804,597952.969804,597952.969804,nan,597952.969804,1
Newton Centre,2966733.88413,2966733.88413,2966733.88413,nan,2966733.88413,1
Coolidge Corner,1554726.39309,6319795.64019,3304379.608,2622610.887,9913138.82401,3
Babcock Street,551524.853785,3375304.12463,1620000.74316,1532067.67002,4860002.22948,3
Science Park,80955.645848,4724301.07021,1931895.66244,2460677.14148,5795686.98731,3
Hawes Street,958625.807278,3062522.78625,1897840.98488,1069916.83011,5693522.95465,3
Haymarket,47638.267122,47638.267122,47638.267122,nan,47638.267122,1
Waban,128216.494508,2693212.40453,1410714.44952,1813726.00169,2821428.89903,2
Wellington,3401436.59292,3401436.59292,3401436.59292,nan,3401436.59292,1
South Station,3838544.33033,3838544.33033,3838544.33033,nan,3838544.33033,1
Boston University West,1358524.67478,1358524.67478,1358524.67478,nan,1358524.67478,1
Ruggles,482219.424058,482219.424058,482219.424058,nan,482219.424058,1
Braintree,525546.251776,525546.251776,525546.251776,nan,525546.251776,1
Heath Street,1056135.53101,2108159.53675,1622695.47303,530679.78412,4868086.4191,3
Sutherland Road,151989.351712,5022199.07845,2590022.08453,1989056.46836,10360088.3381,4
Reservoir,221084.24755,4429990.35216,1731044.08278,2342859.19441,5193132.24833,3
Charles/MGH,134175.19962,13102613.965,6618394.5823,9170070.99238,13236789.1646,2
Chiswick Road,449923.616751,4546065.31269,2045900.13341,1821307.16821,8183600.53364,4
Jackson Square,333503.527588,1179947.44139,752607.97561,423282.041244,2257823.92683,3
Revere Beach,63442.448235,1096040.20873,552665.287006,518424.410893,1657995.86102,3
Brigham Circle,373597.483148,2912969.56877,1643283.52596,1795607.2217,3286567.05192,2
Englewood Avenue,126019.0575,3353888.8716,2000453.18699,1675817.83582,6001359.56097,3
Symphony,707013.193482,762878.73864,734945.966061,39502.9058159,1469891.93212,2
Saint Paul Street,243271.987335,5602069.7119,2359579.8065,2484594.04195,9438319.22599,4
Washington Square,87767.705361,4066069.71875,2119413.66018,1663850.3104,8477654.6407,4
Beaconsfield,5640451.78848,5640451.78848,5640451.78848,nan,5640451.78848,1
Brookline Village,4623.665508,3023209.41907,1513916.54229,2134462.45593,3027833.08457,2
Stony Brook,872821.689306,1551126.09471,1205790.18246,339321.280481,3617370.54738,3
Green Street,1038976.28764,3293530.2907,2166253.28917,1594210.42412,4332506.57834,2
Quincy Center,1187148.66054,1812509.74512,1499829.20283,442197.063594,2999658.40566,2
Andrew,430300.079045,1499798.7225,965049.400772,756249.743257,1930098.80154,2
Museum Of Fine Arts,169636.357854,169636.357854,169636.357854,nan,169636.357854,1
