category,min,max,mean,stddev,sum,count
South Street,9.0497345,51.76829309,23.4536128433,24.5224717188,70.36083853,3
Kent Street,17.81441717,22.54893482,20.181675995,3.34780953596,40.36335199,2
Longwood Medical Area,0.27714875,33.14224841,14.632259718,11.8384719606,73.16129859,5
Central Avenue,0.09489128,8.42809913,2.704186994,3.37710966891,13.52093497,5
Arlington,0.0,25.15667097,12.375878,12.583222587,37.127634,3
Woodland,0.10383605,3.12965506,1.616745555,2.13957714061,3.23349111,2
Harvard Avenue,0.14243861,73.30588173,38.091451864,27.1768963516,190.45725932,5
Wood Island,0.17188305,21.23247591,10.70217948,14.8920880271,21.40435896,2
Capen Street,13.67697903,13.67697903,13.67697903,nan,13.67697903,1
Beachmont,0.0,14.26460476,4.551639568,5.98070856461,22.75819784,5
Ashmont,31.33395135,31.33395135,31.33395135,nan,31.33395135,1
Maverick,0.01256438,90.6181947,40.8905424933,45.9465190204,122.67162748,3
Porter,0.08165028,22.69767745,9.01734882333,9.53343145344,54.10409294,6
Boston University Central,0.88980248,12.19998025,7.15700606333,5.75361482105,21.47101819,3
Boylston,0.0,16.934333,8.65089145,7.49533857171,43.25445725,5
Mattapan,0.23529946,33.42171839,16.828508925,23.4663418687,33.65701785,2
Warren Street,3.53497371,89.43757285,31.8242395025,39.2761705769,127.29695801,4
Aquarium,0.01330178,34.63216652,14.9124611567,17.8057489783,44.73738347,3
JFK/UMass,4.32747403,20.89096493,12.60921948,11.7121567355,25.21843896,2
Prudential,3.16737267,91.4134012,40.8384268975,37.6781134693,163.35370759,4
Bowdoin,0.04349166,32.99220274,11.1125399667,18.9487843757,33.3376199,3
Packards Corner,2.18348025,87.13672755,36.3777982475,36.5770026485,145.51119299,4
Chinatown,0.20534979,137.00157001,48.633972192,61.5921970989,243.16986096,5
Shawmut,9.72690562,13.73213032,11.72951797,2.83212154555,23.45903594,2
Assembly,0.0,0.0,0.0,nan,0.0,1
Newton Highlands,0.03015666,10.75526246,5.39270956,7.58379504012,10.78541912,2
Oak Grove,15.64549983,27.23838052,21.441940175,8.19740454939,42.88388035,2
Boston University East,9.85000746,33.62772416,21.73886581,16.8133847197,43.47773162,2
Griggs Street,2.58557299,131.56851862,44.285762636,52.3956971516,221.42881318,5
Sullivan Square,4.20907518,4.20907518,4.20907518,nan,4.20907518,1
Northeastern,0.41578696,41.83190238,14.2293945033,23.9044762215,42.68818351,3
Brandon Hall,37.29081054,46.90069603,42.095753285,6.79521519641,84.19150657,2
Copley,24.62271683,49.01872038,36.820718605,17.2505795441,73.64143721,2
Broadway,16.22102387,16.22102387,16.22102387,nan,16.22102387,1
Eliot,0.1198205,0.9168487,0.5183346,0.563584045017,1.0366692,2
Kenmore,42.30878925,71.34374723,56.82626824,20.5308156791,113.65253648,2
Massachusetts Ave,0.00013077,145.43277736,73.0850155033,72.719125312,219.25504651,3
Chestnut Hill Avenue,0.5167598,147.16865036,75.2323811767,73.3654404346,225.69714353,3
Tufts Medical Center,4.60786483,71.15457758,37.6652150633,33.2754597326,112.99564519,3
State,0.23951182,78.87873198,34.3055348567,40.3587941756,102.91660457,3
Downtown Crossing,17.42299951,41.00724771,29.21512361,16.6765818314,58.43024722,2
Hynes Convention Center,0.72460115,75.80917162,19.1721063,31.8316380638,95.8605315,5
Fields Corner,6.52147039,18.31773199,12.9545772433,5.97047276745,38.86373173,3
Butler,12.33061091,12.33061091,12.33061091,nan,12.33061091,1
Kendall/MIT,3.83035069,18.02925685,10.92980377,10.0401428312,21.85960754,2
Fenwood Road,5.00504565,63.40318045,31.57203785,27.6069515225,126.2881514,4
Forest Hills,0.11322898,13.98531987,6.5808501375,7.00152896784,26.32340055,4
Alewife,11.45899352,11.45899352,11.45899352,nan,11.45899352,1
Cleveland Circle,0.10658907,34.26381238,10.207119725,16.1774509683,40.8284789,4
Harvard,0.0,30.277002,8.7315677,14.5234628129,34.9262708,4
Back Bay,3.51136552,159.49086169,56.1137036733,89.5319080299,168.34111102,3
Suffolk Downs,0.0,21.20438803,7.06812934333,12.2423591371,21.20438803,3
Summit Ave/Winchester St,17.58047834,43.9808233,27.70583712,14.234043395,83.11751136,3
Tappan Street,2.17747515,11.70862085,6.378544775,4.29788492902,25.5141791,4
Riverway,0.0,95.34255275,39.7670273775,41.9003765323,159.06810951,4
Central,0.00045696,100.24042806,26.748865654,41.7935799542,133.74432827,5
North Quincy,6.77053584,9.7005052,8.23552052,2.07180120312,16.47104104,2
Mission Park,25.12382389,143.69516918,67.7246070867,65.954132461,203.17382126,3
Savin Hill,0.31088542,16.55201319,4.67936583,7.92072825111,18.71746332,4
Valley Road,0.3404872,10.62072438,4.24457392,5.56813644501,12.73372176,3
Dean Road,13.97204686,15.02608403,14.499065445,0.74531683053,28.99813089,2
Davis,0.57745456,29.30143622,15.3531099125,11.7474193337,61.41243965,4
Chestnut Hill,0.09073053,1.76940961,0.93007007,1.1870053609,1.86014014,2
Roxbury Crossing,1.25730799,33.34939848,17.303353235,22.6925348079,34.60670647,2
Saint Marys Street,10.80863215,26.62212477,18.4299028367,7.9221920076,55.28970851,3
Washington Street,12.31740181,79.06309039,31.166805205,32.0476774513,124.66722082,4
Back Of The Hill,0.0,61.45869708,23.0804699225,29.390650519,92.32187969,4
Wonderland,13.32914368,13.32914368,13.32914368,nan,13.32914368,1
Orient Heights,3.84167296,21.34757536,12.59462416,12.3785422978,25.18924832,2
Riverside,3.96807242,3.96807242,3.96807242,nan,3.96807242,1
Newton Centre,4.43906977,4.43906977,4.43906977,nan,4.43906977,1
Coolidge Corner,15.23283751,48.55985821,28.41102725,17.7232885337,85.23308175,3
Babcock Street,0.0,40.99105428,20.3616953875,16.7864535068,81.44678155,4
Science Park,0.0,31.70606131,10.89440969,14.1762230707,43.57763876,4
Hawes Street,7.90412407,17.54979961,13.5942412167,5.05136463813,40.78272365,3
Haymarket,0.4719313,33.13937921,16.805655255,23.0993739412,33.61131051,2
Waban,0.01153558,2.06875713,0.845866323333,1.0822542763,2.53759897,3
Wellington,24.64116315,24.64116315,24.64116315,nan,24.64116315,1
South Station,0.55860528,7.08655968,3.82258248,4.61596082352,7.64516496,2
Boston University West,0.0,14.25627925,7.128139625,10.0807117322,14.25627925,2
Pleasant Street,0.0,42.91863895,21.459319475,30.3480606408,42.91863895,2
Ruggles,0.44826432,14.77412667,7.611195495,10.129914414,15.22239099,2
Braintree,7.15621257,7.15621257,7.15621257,nan,7.15621257,1
Heath Street,9.2791467,36.79369157,20.1085957,14.6621620183,60.3257871,3
Sutherland Road,2.40096657,82.99379384,45.125714225,35.9794741434,180.5028569,4
Reservoir,0.85635249,25.97842513,9.70434831667,14.1116846106,29.11304495,3
Charles/MGH,8.21950496,136.1884916,72.20399828,90.4877382347,144.40799656,2
Chiswick Road,14.25939947,64.15894791,41.7141670925,21.3788619026,166.85666837,4
Jackson Square,3.47117895,67.42509472,34.60042836,32.0106492367,103.80128508,3
Revere Beach,1.02279801,14.49270367,9.04231591,7.09294803869,27.12694773,3
Brigham Circle,8.42832182,45.67469384,27.05150783,26.3371622299,54.10301566,2
Englewood Avenue,1.58951806,14.78633953,10.0836543933,7.37023411163,30.25096318,3
Symphony,15.51454157,111.83864098,67.152263165,39.9031207089,268.60905266,4
