category,min,max,mean,stddev,sum,count
South Street,0.75414454,7.1429935,4.60497338333,3.39071494276,13.81492015,3
Kent Street,15.28669581,28.21190932,21.749302565,9.1395061212,43.49860513,2
Longwood Medical Area,0.0,0.37060022,0.077584404,0.163972458891,0.38792202,5
Central Avenue,0.21210992,10.76923778,3.3784256,4.20764836943,16.892128,5
Arlington,0.0,21.23490858,12.37055064,11.0431144175,37.11165192,3
Woodland,2.99763487,5.9013489,4.449491885,2.05323588124,8.89898377,2
Harvard Avenue,0.0,1.04115153,0.41526492,0.431905465678,2.0763246,5
Wood Island,0.25286641,6.13800189,3.19543415,4.16141920611,6.3908683,2
Capen Street,17.47613988,17.47613988,17.47613988,nan,17.47613988,1
Beachmont,0.0,9.05995167,3.817588162,4.66049571208,19.08794081,5
Ashmont,35.92599594,35.92599594,35.92599594,nan,35.92599594,1
Maverick,0.00314109,27.68889283,9.73243654,15.5688742036,29.19730962,3
Porter,0.03138052,17.85382161,5.87523530167,6.50791959248,35.25141181,6
Boston University Central,0.1779605,1.26821326,0.607830913333,0.580529571795,1.82349274,3
Boylston,0.0,34.29476148,10.238715264,15.1956560979,51.19357632,5
Mattapan,0.30066042,9.41456856,4.85761449,6.44450624891,9.71522898,2
Warren Street,0.0,11.86089676,3.5410720725,5.57383836126,14.16428829,4
Aquarium,0.00472952,31.76541842,12.2052415133,17.1116580312,36.61572454,3
JFK/UMass,8.53304738,11.79952649,10.166286935,2.30974952929,20.33257387,2
Prudential,0.0,20.47660187,7.4751384625,8.97945555724,29.90055385,4
Bowdoin,0.01284039,9.87234711,3.34422513333,5.65392031202,10.0326754,3
Packards Corner,0.0,3.03261146,1.209478385,1.35567640636,4.83791354,4
Chinatown,0.0,37.23458254,7.880776246,16.4298167166,39.40388123,5
Shawmut,16.81919838,20.64001925,18.729608815,2.70172834688,37.45921763,2
Assembly,0.0,0.0,0.0,nan,0.0,1
Newton Highlands,0.11896284,16.602083,8.36052292,11.6553260402,16.72104584,2
Oak Grove,9.84435945,10.37125329,10.10780637,0.372570207229,20.21561274,2
Boston University East,0.30463941,6.72554483,3.51509212,4.54026576384,7.03018424,2
Griggs Street,0.0,3.14597485,1.104956614,1.21606269406,5.52478307,5
Sullivan Square,3.09898942,3.09898942,3.09898942,nan,3.09898942,1
Northeastern,0.0,0.13503049,0.0450101633333,0.0779598897503,0.13503049,3
Brandon Hall,13.95253681,27.7546109,20.853573855,9.75954018348,41.70714771,2
Copley,6.22815551,20.78419443,13.50617497,10.2926738275,27.01234994,2
Broadway,10.94199243,10.94199243,10.94199243,nan,10.94199243,1
Eliot,0.19597308,16.42992869,8.312950885,11.4791400973,16.62590177,2
