category,min,max,mean,stddev,sum,count
South Street,9.803879,58.911287,28.0585863333,26.8685030685,84.175759,3
Kent Street,33.101113,50.760844,41.9309785,12.487315544,83.861957,2
Longwood Medical Area,0.294471,33.512849,14.7098444,11.9783921903,73.549222,5
Central Avenue,0.307001,19.197337,6.0826126,7.54497656822,30.413063,5
Arlington,0.0,46.39158,24.7464286667,23.3507626117,74.239286,3
Woodland,6.005185,6.12729,6.0662375,0.0863412735168,12.132475,2
Harvard Avenue,0.17293,73.905112,38.5067168,27.2632799898,192.533584,5
Wood Island,0.424749,27.370478,13.8976135,19.0535076999,27.795227,2
Capen Street,31.153119,31.153119,31.153119,nan,31.153119,1
Beachmont,0.0,23.324556,8.3692276,10.3385523428,41.846138,5
Ashmont,67.259947,67.259947,67.259947,nan,67.259947,1
Maverick,0.015705,118.307088,50.622979,60.9666018671,151.868937,3
Porter,0.113031,36.186481,14.8925841667,14.8537036771,89.355505,6
Boston University Central,1.067763,12.577299,7.764837,5.98173691554,23.294511,3
Boylston,0.0,40.975559,18.8896068,17.6698741752,94.448034,5
Mattapan,0.53596,42.836287,21.6861235,29.9108480681,43.372247,2
Warren Street,4.572412,101.29847,35.36531175,44.7503156999,141.461247,4
Aquarium,0.018031,66.397585,27.1177026667,34.8257009437,81.353108,3
JFK/UMass,12.860521,32.690491,22.775506,14.0219062577,45.551012,2
Prudential,3.167373,111.890003,48.3135655,46.5017536806,193.254262,4
Bowdoin,0.056332,42.86455,14.456765,24.6026485286,43.370295,3
Packards Corner,5.216092,87.136728,37.58727675,35.583829469,150.349107,4
Chinatown,0.417756,137.00157,56.5147484,57.6930929962,282.573742,5
Shawmut,30.366925,30.551329,30.459127,0.130393318878,60.918254,2
Assembly,0.0,0.0,0.0,nan,0.0,1
Newton Highlands,0.14912,27.357345,13.7532325,19.2391204015,27.506465,2
Oak Grove,25.489859,37.609634,31.5497465,8.56997508896,63.099493,2
Boston University East,10.154647,40.353269,25.253958,21.3536503987,50.507916,2
Griggs Street,2.585573,132.644011,45.3907194,52.6415072502,226.953597,5
Sullivan Square,7.308065,7.308065,7.308065,nan,7.308065,1
Northeastern,0.440494,41.831902,14.2744043333,23.8655567927,42.823213,3
Brandon Hall,60.853233,65.045421,62.949327,2.96432456281,125.898654,2
Copley,45.406911,55.246876,50.3268935,6.95790597814,100.653787,2
Broadway,27.163016,27.163016,27.163016,nan,27.163016,1
Eliot,0.315794,17.346777,8.8312855,12.0427235696,17.662571,2
Kenmore,47.584457,79.483638,63.5340475,22.5561271994,127.068095,2
Massachusetts Ave,0.000131,145.432777,82.0142756667,74.4782659161,246.042827,3
Chestnut Hill Avenue,0.559823,165.994901,85.1101743333,82.7784323442,255.330523,3
Tufts Medical Center,4.808622,79.251478,42.2160633333,37.2228223707,126.64819,3
State,0.354512,78.878732,36.7176176667,39.5818892933,110.152853,3
Downtown Crossing,17.423,48.104656,32.763828,21.6952070156,65.527656,2
Hynes Convention Center,0.767398,113.338465,28.4278122,47.8590528409,142.139061,5
Fields Corner,15.757538,27.765273,20.3684023333,6.47053308658,61.105207,3
Butler,18.229081,18.229081,18.229081,nan,18.229081,1
Kendall/MIT,3.830351,21.335189,12.58277,12.3777896534,25.16554,2
Fenwood Road,5.317861,64.538144,32.93113475,28.1260680556,131.724539,4
Forest Hills,0.199393,23.791119,9.4162755,10.9124706066,37.665102,4
Alewife,19.655357,19.655357,19.655357,nan,19.655357,1
Cleveland Circle,0.125193,53.75874,17.13273,24.8494428451,68.53092,4
Harvard,0.0,38.503206,10.7999625,18.5921604303,43.19985,4
Back Bay,3.957508,211.270013,73.9207716667,118.954912349,221.762315,3
Suffolk Downs,0.0,35.399061,11.799687,20.4376573974,35.399061,3
Summit Ave/Winchester St,35.036051,57.064724,43.2335763333,12.046529956,129.700729,3
Tappan Street,5.60102,26.737597,14.9170825,9.84048592876,59.66833,4
Riverway,0.003284,97.049254,47.0871005,43.9771751104,188.348402,4
Central,0.000857,102.433873,30.2261904,41.9907345635,151.130952,5
North Quincy,12.176044,17.705394,14.940719,3.90984088055,29.881438,2
Mission Park,36.41447,146.267418,73.1191333333,63.3484072253,219.3574,3
Savin Hill,0.923899,21.816096,6.5030745,10.2167007345,26.012298,4
Valley Road,2.049003,24.19165,9.86479833333,12.4245561278,29.594395,3
Dean Road,32.861392,35.939658,34.400525,2.1766627629,68.80105,2
Davis,1.477604,42.848129,23.53958325,17.0880644666,94.158333,4
Chestnut Hill,0.320077,5.396699,2.858388,3.58971384172,5.716776,2
Roxbury Crossing,1.257308,42.969417,22.1133625,29.4949151315,44.226725,2
Saint Marys Street,12.444149,29.706395,21.8498936667,8.73478107456,65.549681,3
Washington Street,12.317402,87.601904,34.853793,35.4106704557,139.415172,4
Back Of The Hill,0.003159,89.716804,32.9125655,42.627408209,131.650262,4
Wonderland,24.569969,24.569969,24.569969,nan,24.569969,1
Orient Heights,8.203176,30.374875,19.2890255,15.6777587133,38.578051,2
Riverside,7.613162,7.613162,7.613162,nan,7.613162,1
Newton Centre,24.335044,24.335044,24.335044,nan,24.335044,1
Coolidge Corner,30.357449,94.350656,51.7852336667,36.8630225311,155.355701,3
Babcock Street,0.0,41.777018,25.106638,19.7726991337,100.426552,4
Science Park,0.0,64.972784,19.721282,30.3891342599,78.885128,4
Hawes Street,10.356133,34.507299,25.8242856667,13.4293816544,77.472857,3
Haymarket,0.621366,43.055766,21.838566,30.0056519956,43.677132,2
Waban,0.667141,14.546975,5.36981266667,7.94847457135,16.109438,3
Wellington,37.454568,37.454568,37.454568,nan,37.454568,1
South Station,0.75722,26.321507,13.5393635,18.0766806939,27.078727,2
Boston University West,0.0,26.489708,13.244854,18.7310521585,26.489708,2
Pleasant Street,0.0,51.833217,25.9166085,36.6516192314,51.833217,2
Ruggles,0.448264,16.864357,8.6563105,11.6079306809,17.312621,2
Braintree,10.890796,10.890796,10.890796,nan,10.890796,1
Heath Street,19.312016,53.711071,31.4000116667,19.3444312212,94.200035,3
Sutherland Road,2.679832,98.930564,54.716365,42.221302059,218.86546,4
Reservoir,3.552054,56.813686,21.313421,30.7441333837,63.940263,3
Charles/MGH,8.219505,176.006313,92.112909,118.64318973,184.225818,2
Chiswick Road,16.226913,69.42804,49.18447625,25.5039411589,196.737905,4
Jackson Square,5.717236,68.193229,36.657184,31.2422618269,109.971552,3
Revere Beach,1.462785,21.403691,12.8371683333,10.2626991658,38.511505,3
Brigham Circle,8.955092,50.338176,29.646634,29.2622593228,59.293268,2
Englewood Avenue,1.866949,35.6903,23.2981103333,18.6355044152,69.894331,3
Symphony,15.514542,129.189951,72.97681425,47.0781367171,291.907257,4
Saint Paul Street,0.0,83.63545,29.3906211667,31.3839383786,176.343727,6
Washington Square,0.919833,39.814235,22.56600225,17.6606641314,90.264009,4
Beaconsfield,72.337597,72.337597,72.337597,nan,72.337597,1
Brookline Village,0.081774,51.065921,28.572146,26.0156720654,85.716438,3
Stony Brook,10.085061,26.590885,17.89136475,7.60296185786,71.565459,4
Green Street,26.99902,41.143414,34.071217,10.0015969132,68.142434,2
Quincy Center,18.749584,28.88784,23.818712,7.16882956701,47.637424,2
Andrew,11.321005,20.510068,15.9155365,6.49764876005,31.831073,2
Museum Of Fine Arts,0.303676,11.444674,6.392596,5.64240552502,19.177788,3
Fenway Park,29.984349,83.289873,56.637111,37.6926974951,113.274222,2
Cedar Grove,9.742151,11.336514,10.5393325,1.12738488897,21.078665,2
North Station,15.562226,15.562226,15.562226,nan,15.562226,1
Lechmere,3.242937,89.291468,32.0856936667,49.5422345094,96.257081,3
Brookline Hills,4.041794,30.164568,17.103181,18.4715906388,34.206362,2
Milton,0.879662,4.663846,2.448161,1.97335993306,7.344483,3
Community College,0.915072,7.082332,3.998702,4.36091136734,7.997404,2
Boston College,0.0,12.834898,3.46068916667,5.14457943799,20.764135,6
Quincy Adams,0.58071,34.643672,12.0000246667,19.6102161618,36.000074,3
Airport,0.722252,11.038454,5.880353,7.29465639029,11.760706,2
Fairbanks Street,60.75429,65.114848,62.934569,3.08338013156,125.869138,2
Longwood,0.037664,40.825015,26.4153003333,22.8763056931,79.245901,3
Blandford Street,1.657758,48.324679,18.2927566667,26.0587519214,54.87827,3
Government Center,43.119571,43.119571,43.119571,nan,43.119571,1
Allston Street,20.572272,58.66466,46.91123775,17.8355223172,187.644951,4
Park Street,0.0,56.877019,28.4385095,40.2181258286,56.877019,2
Wollaston,6.026138,27.750069,18.6076726667,11.2629058808,55.823018,3
Malden Center,0.091687,34.759358,11.740951,15.8140550946,46.963804,4
