ID,State
Ashmont,26800.7320295
Harvard,17021.3148027
Kendall/MIT,7297.39321503
Capen Street,33549.7090116
Tufts Medical Center,3234.40694558
Waban,47539.1532202
Kenmore,10067.4586944
Arlington,3594.32158528
Copley,5556.97035642
Boylston,2009.11478406
Chinatown,1914.83011562
Haymarket,1947.86655964
North Station,2827.90605118
Davis,22092.3359051
South Station,2189.22164447
Oak Grove,29342.726854
Malden Center,25509.7157059
Wellington,16808.862104
Sullivan Square,10816.0581998
Community College,6631.8166592
Lechmere,6758.8780232
Science Park,3993.28424759
Bowdoin,1457.92270601
Government Center,715.539677865
Aquarium,2328.08525349
Maverick,6966.16384747
Airport,10163.0306266
Wood Island,12906.9916428
Orient Heights,18391.1331189
Suffolk Downs,20846.3228375
Beachmont,23323.4352036
Revere Beach,25908.6336946
Wonderland,27543.4076161
Alewife,26276.1220548
Porter,19538.9015785
Central,12187.815562
Charles/MGH,3282.8315615
Broadway,5450.52959358
Andrew,9972.96658517
Savin Hill,17083.6753952
Fields Corner,20917.5494451
Shawmut,23475.7706285
Cedar Grove,28368.3247389
Butler,30970.9345102
Milton,31784.8793309
Central Avenue,32060.2419037
Valley Road,32969.0029356
Mattapan,33907.3489819
North Quincy,30728.9665547
Wollaston,34729.1598484
Quincy Center,41099.0618738
Quincy Adams,47449.442187
Braintree,56844.2650738
Forest Hills,25296.4728391
Green Street,21631.2024919
Stony Brook,18960.9784597
Jackson Square,16482.2669934
Ruggles,10972.3680349
Massachusetts Ave,8833.95230083
Back Bay,5418.99281447
Prudential,7111.78779802
Symphony,8590.63032871
Northeastern,10193.1896732
Museum Of Fine Arts,11806.2750719
Longwood Medical Area,13189.7859985
Brigham Circle,14438.2509259
Fenwood Road,15036.3502824
Mission Park,16033.4745918
Riverway,16808.5124491
Back Of The Hill,17100.5503563
Heath Street,17222.2234054
Hynes Convention Center,8125.37134937
Blandford Street,11215.5542398
Boston University East,12314.1686372
Boston University Central,12977.2308258
Boston University West,14643.7472478
Saint Paul Street,15382.0909021
Pleasant Street,16092.2513015
Babcock Street,16789.2361464
Packards Corner,17732.5191681
Harvard Avenue,19345.271497
Griggs Street,20326.485794
Allston Street,21214.1929452
Warren Street,21907.5715462
Washington Street,22816.1321941
Sutherland Road,24023.2885418
Chiswick Road,25318.7464566
Chestnut Hill Avenue,25952.753934
South Street,27076.753712
Boston College,29589.4035762
Cleveland Circle,25333.6266029
Englewood Avenue,24263.9525597
Dean Road,23270.6845835
Tappan Street,22276.524215
Washington Square,21394.9763592
Fairbanks Street,20314.268321
Brandon Hall,19589.9496462
Summit Ave/Winchester St,18741.2706071
Coolidge Corner,17459.7933054
Saint Paul Street,16284.3858543
Kent Street,15449.0138217
Hawes Street,14551.8449211
Saint Marys Street,13412.9216185
Fenway Park,12839.2591589
Longwood,14648.5317034
Brookline Village,17808.5882493
Brookline Hills,20377.5212502
Beaconsfield,23077.1814235
Reservoir,25214.7300595
Chestnut Hill,30391.3166068
Newton Centre,37193.7114974
Newton Highlands,41342.5515869
Eliot,44574.9660768
Woodland,50330.2536008
Riverside,52544.4414602
Downtown Crossing,721.189643144
Park Street,745.451369659
JFK/UMass,13552.3899177
State,795.069384662
Roxbury Crossing,13704.6872418
Assembly,13484.9283105
