category,min,max,mean,stddev,sum,count
South Street,48597.3314203,278320.271008,151274.551282,116784.096016,453823.653846,3
Kent Street,111966.394825,215691.479721,163828.937273,73344.7109088,327657.874546,2
Longwood Medical Area,5611.2950355,319666.529745,72440.6450235,122575.024165,434643.870141,6
Central Avenue,2860.36911236,42506.9703762,15569.452979,16188.9496285,77847.264895,5
Arlington,84816.1820087,141077.841919,104791.18098,31478.5058586,314373.54294,3
Woodland,2029.24098102,2029.24098102,2029.24098102,nan,2029.24098102,1
Harvard Avenue,0.51979485,456401.392505,181778.33436,148812.321158,1272448.34052,7
Wood Island,1.50677205,102943.0383,30205.067781,49034.3761094,120820.271124,4
Capen Street,56531.8790638,56531.8790638,56531.8790638,nan,56531.8790638,1
Beachmont,6240.856843,45206.0526775,31261.6938942,17168.6889301,125046.775577,4
Ashmont,39.3304626,203713.171664,59789.8765378,96563.485765,239159.506151,4
Maverick,49589.8161754,257015.292708,126788.846271,97222.2984081,507155.385082,4
Porter,10010.5098779,145066.739484,84140.6583885,53010.9708092,504843.950331,6
Boston University Central,6516.5323465,67198.888269,38300.1135492,28419.3464897,191500.567746,5
Boylston,3266.70616674,756389.435741,236277.057661,328690.04787,1181385.28831,5
Mattapan,1819.21939512,123954.354017,37877.4272005,57648.2126418,151509.708802,4
Warren Street,380.70555875,593208.451561,164738.741892,245228.152797,823693.709462,5
Aquarium,11590.7013498,284371.55283,143715.789939,136590.363996,431147.369817,3
JFK/UMass,5712.20426845,120267.681263,29626.1929641,44812.148643,177757.157784,6
Prudential,99.80167812,613568.546837,249940.812798,253405.862753,1749585.68958,7
Bowdoin,772.1439455,196765.947765,93166.5117972,94556.9417232,372666.047189,4
Packards Corner,2407.01180805,305419.00767,138003.224796,127518.896671,828019.348773,6
Chinatown,3343.88060534,806649.989542,285752.493663,347491.523521,2000267.45564,7
Shawmut,82.85544032,83942.0391206,40427.189267,36856.7376274,202135.946335,5
Newton Highlands,3698.1790344,72934.6177119,38316.3983732,48957.5552941,76632.7967463,2
Oak Grove,89983.1257433,154450.837483,122216.981613,45585.5561386,244433.963226,2
Boston University East,191.41877216,182828.868251,55140.3814611,75356.1651652,275701.907306,5
Griggs Street,71262.17879,459001.483683,268528.089888,172179.275278,1342640.44944,5
Sullivan Square,403.12193922,37025.6247525,19874.9820384,18771.5169178,79499.9281535,4
Northeastern,80192.1050506,318839.578012,184119.92328,122267.15415,552359.76984,3
Brandon Hall,2621.3801081,563571.286035,215380.401764,265740.932497,861521.607056,4
Copley,4275.3103619,682557.460416,208144.127925,287846.182647,1040720.63963,5
Broadway,188109.377604,188109.377604,188109.377604,nan,188109.377604,1
Eliot,19234.2868025,19234.2868025,19234.2868025,nan,19234.2868025,1
