category,min,max,mean,stddev,sum,count
South Street,1783884.0,5815746.0,4165736.0,2113213.74486,12497208.0,3
Kent Street,7771028.0,23280791.0,15525909.5,10967058.5919,31051819.0,2
Longwood Medical Area,313773.0,10676429.0,2988468.8,4399337.82429,14942344.0,5
Central Avenue,1230206.0,3121597.0,1873326.0,852159.266215,7493304.0,4
Arlington,9842139.0,22775121.0,15337273.3333,6681774.2535,46011820.0,3
Woodland,201442.0,5331695.0,2766568.5,3627636.6855,5533137.0,2
Harvard Avenue,55.0,14021007.0,5476414.28571,4502532.97436,38334900.0,7
Wood Island,90.0,6970918.0,2211285.0,3261935.42186,8845140.0,4
Beachmont,1520810.0,2902560.0,2200078.0,678914.708113,8800312.0,4
Ashmont,5085.0,19435857.0,4527322.2,8372106.28944,22636611.0,5
Maverick,2153075.0,15059890.0,7482173.0,5822053.36447,29928692.0,4
Porter,700978.0,12158177.0,6887181.5,3882482.197,41323089.0,6
Boston University Central,338230.0,4171130.0,1674496.75,1706714.39476,6697987.0,4
Boylston,111869.0,35043060.0,12123304.0,19856752.6663,36369912.0,3
Mattapan,325319.0,5046144.0,2129548.33333,2549424.70271,6388645.0,3
Warren Street,14061.0,16927396.0,4757019.6,6926806.7435,23785098.0,5
Aquarium,11334016.0,27229938.0,19281977.0,11240114.2394,38563954.0,2
JFK/UMass,77578.0,5563731.0,1829760.33333,2185735.81572,10978562.0,6
Prudential,25999.0,26364672.0,9817103.0,11910638.6341,58902618.0,6
Bowdoin,37625.0,10900216.0,4133830.66667,5903081.00889,12401492.0,3
Packards Corner,255225.0,12694331.0,4793913.0,4390577.27097,28763478.0,6
Chinatown,658797.0,33532261.0,9419042.0,16102121.3798,37676168.0,4
Shawmut,13144.0,11725299.0,4040120.8,5234493.00768,20200604.0,5
Newton Highlands,2094617.0,15059704.0,8577160.5,9167700.93637,17154321.0,2
Oak Grove,8289779.0,9058570.0,8674174.5,543617.329415,17348349.0,2
Boston University East,6610.0,4782866.0,1457267.0,2254048.80008,5829068.0,4
Griggs Street,1900186.0,14664871.0,8160782.83333,5532836.06114,48964697.0,6
Sullivan Square,26916.0,3560391.0,2209420.33333,1907864.66318,6628261.0,3
Northeastern,2109310.0,3415184.0,2762247.0,923392.360775,5524494.0,2
