category,min,max,mean,stddev,sum,count
South Street,39.76868365,184.31806027,99.3614805133,75.5388753047,298.08444154,3
Kent Street,81.54872165,116.52700147,99.03786156,24.733378855,198.07572312,2
Longwood Medical Area,3.40078487,228.49644728,68.13195305,85.3546726568,408.7917183,6
Central Avenue,2.09397446,25.88731448,12.552116252,10.4615094851,62.76058126,5
Arlington,0.0,87.08614076,46.8545801875,36.1457998003,187.41832075,4
Woodland,0.47969017,13.69858978,5.17168861333,7.39693760268,15.51506584,3
Harvard Avenue,0.00022949,263.05555764,131.632094407,91.8192131294,921.42466085,7
Wood Island,0.00129115,83.62553883,24.328169375,39.9616237611,97.3126775,4
Capen Street,66.1965797,66.1965797,66.1965797,nan,66.1965797,1
Beachmont,0.0,39.77858578,21.062389478,17.6737387147,105.31194739,5
Ashmont,0.03710421,123.91312145,26.0922081683,48.8800682229,156.55324901,6
Maverick,0.16810354,215.97923757,108.418591166,87.0223671537,542.09295583,5
Porter,6.76843129,80.63743162,47.5516820133,28.936574497,285.31009208,6
Boston University Central,0.0,42.54127868,20.7610866317,18.4540449511,124.56651979,6
Boylston,0.0,371.32520164,94.1236084629,137.504736178,658.86525924,7
Mattapan,1.06887156,105.13516032,27.605399188,43.5731639159,138.02699594,5
Warren Street,0.27687677,332.88914229,109.67472605,129.459436766,548.37363025,5
Aquarium,4.08554859,134.83715165,65.91666388,65.6634588436,197.74999164,3
JFK/UMass,0.0,85.66074164,20.3452117471,29.9430773376,142.41648223,7
Prudential,0.05972572,307.89247873,124.03512242,119.615172259,868.24585694,7
Bowdoin,2.3049073,109.01160541,50.23913862,52.2993125173,200.95655448,4
Packards Corner,1.06269837,210.05433815,96.8115120033,93.6518362093,580.86907202,6
Chinatown,0.0,395.99901303,112.921032329,144.06521524,1016.28929096,9
Shawmut,0.06065552,53.87807389,23.7405301517,22.9691273018,142.44318091,6
Assembly,0.0,0.0,0.0,nan,0.0,1
Newton Highlands,2.4970824,45.30100479,23.899043595,30.2669437834,47.79808719,2
Oak Grove,73.69625368,135.60214002,104.64919685,43.7740720264,209.2983937,2
Boston University East,0.0,130.8724898,32.93491436,50.8424091658,197.60948616,6
Griggs Street,51.82703912,275.29742823,181.723557925,91.113612021,1090.34134755,6
Sullivan Square,0.24610619,25.42968733,13.4282480075,10.7721068065,53.71299203,4
Northeastern,1.95226247,162.09434571,80.808557915,69.7421045427,323.23423166,4
Brandon Hall,1.55111249,261.51799816,106.558814043,125.844891799,426.23525617,4
Copley,2.2826003,220.464296,74.01587723,93.0994225249,370.07938615,5
Broadway,78.50975693,78.50975693,78.50975693,nan,78.50975693,1
Eliot,3.40492129,11.95418695,7.67955412,6.04524372235,15.35910824,2
Kenmore,0.0,268.56926399,83.2337627467,122.703321302,499.40257648,6
Massachusetts Ave,0.44154231,350.64688982,109.712827683,131.376590269,877.70262146,8
Chestnut Hill Avenue,5.52471917,511.36478089,219.949177,250.748402839,879.796708,4
Tufts Medical Center,7.02879448,297.64927141,174.218467115,123.429928773,696.87386846,4
State,15.39327137,267.17600433,103.294848988,116.485233682,413.17939595,4
Downtown Crossing,0.0,181.85240774,59.289366508,74.7252103775,296.44683254,5
Hynes Convention Center,15.80600279,205.95788949,83.3157321987,68.0180622783,666.52585759,8
Fields Corner,0.7468363,156.83230512,48.12298114,62.2563129899,240.6149057,5
Butler,2.95301238,56.70510502,29.8290587,38.0084692087,59.6581174,2
Kendall/MIT,0.89157196,59.7909894,23.3852414575,25.3733401772,93.54096583,4
Fenwood Road,26.35128766,252.88630688,135.306867367,94.1069039588,541.22746947,4
Forest Hills,0.0,46.47289918,20.5012121943,17.7987850485,143.50848536,7
Alewife,7.85e-06,55.13607347,18.4507956633,31.7705665987,55.35238699,3
Cleveland Circle,1.39892727,96.47477983,34.8290264529,38.4631239146,243.80318517,7
Harvard,0.0,118.05086937,38.329879966,52.6131712333,191.64939983,5
Back Bay,0.35707642,409.90930585,154.722615394,152.888091918,773.61307697,5
Suffolk Downs,0.0,78.1492356,19.591219575,39.0388097022,78.3648783,4
Summit Ave/Winchester St,24.25512721,220.05981583,104.405577145,84.3185496431,417.62230858,4
Tappan Street,19.76732202,41.87750784,28.811297712,10.6057698627,144.05648856,5
Riverway,0.0,270.25957176,91.9480791457,107.105509705,643.63655402,7
Central,0.86654676,366.33873229,73.2622542938,123.531970398,586.09803435,8
North Quincy,2.57549729,46.24909467,20.6393827325,21.5638449476,82.55753093,4
Mission Park,0.0,706.5536229,194.187780696,294.444734777,970.93890348,5
Savin Hill,4.50882587,54.50771306,25.986721655,24.3292629872,103.94688662,4
Valley Road,4.70942316,26.95465732,17.6437424933,11.5567904659,52.93122748,3
Dean Road,64.4554817,76.82063094,70.63805632,8.74348087799,141.27611264,2
Davis,1.44583069,149.61646998,49.7481937833,57.9813570524,298.4891627,6
Chestnut Hill,0.18074181,5.98690903,2.68320754667,2.98485820232,8.04962264,3
Roxbury Crossing,3.44257355,98.84796065,39.7863049467,40.4419213693,238.71782968,6
Saint Marys Street,0.31062099,206.29187493,54.239114385,80.1281498476,325.43468631,6
Washington Street,2.90371147,268.6430596,112.890345765,104.018820377,677.34207459,6
Back Of The Hill,0.0,268.36634983,60.8322843283,107.566931254,364.99370597,6
Wonderland,64.51305656,64.51305656,64.51305656,nan,64.51305656,1
Orient Heights,2.33905963,102.41378635,41.0488583067,53.7464314814,123.14657492,3
Riverside,19.20547084,19.20547084,19.20547084,nan,19.20547084,1
Newton Centre,2.43342383,15.79669044,7.19368623,7.46453093545,21.58105869,3
Coolidge Corner,0.41375177,209.53574127,86.551156476,94.9434160739,432.75578238,5
Babcock Street,0.0,181.08007289,61.3292763183,67.9848770862,367.97565791,6
Science Park,0.0,184.8430729,68.569983714,78.3017519054,342.84991857,5
Hawes Street,1.97881958,78.39656595,49.876713955,33.811330793,199.50685582,4
Haymarket,5.49294229,246.31361934,108.637686987,101.778334124,434.55074795,4
Waban,0.18625243,6.19364425,3.3375319825,2.80101516376,13.35012793,4
Wellington,0.00110242,119.25598066,59.62854154,84.3259330931,119.25708308,2
South Station,10.22087747,26.76179726,18.491337365,11.6961965506,36.98267473,2
Boston University West,0.0,73.29957045,16.176277436,32.0467810464,80.88138718,5
Pleasant Street,0.0,175.53741117,40.857600078,75.9377587116,204.28800039,5
Ruggles,0.00641323,80.77491653,18.379464152,35.0639062141,91.89732076,5
Braintree,0.01074386,29.59743384,11.2295976133,16.0366461206,33.68879284,3
Heath Street,0.0,214.48568286,64.4104697,89.4562379051,322.0523485,5
Sutherland Road,0.25207931,327.62086515,118.546964341,130.793174796,829.82875039,7
Reservoir,0.0,58.56014619,23.752391346,26.1787786626,118.76195673,5
Charles/MGH,0.0,424.61430176,78.8003328033,169.971644803,472.80199682,6
Chiswick Road,124.42711865,312.83377392,217.24934484,83.507594929,868.99737936,4
Jackson Square,6.01356143,250.6139898,91.979492626,98.9788311881,459.89746313,5
Revere Beach,6.57867956,228.79835092,71.51224239,105.444108925,286.04896956,4
Brigham Circle,6.67909429,229.63875682,88.787867856,94.8264863265,443.93933928,5
Englewood Avenue,3.85140707,76.11851189,49.00471662,31.780762618,196.01886648,4
Symphony,0.00472204,337.2493699,118.807814803,137.464243576,1306.88596283,11
Saint Paul Street,0.0,205.30741052,69.1085395386,78.6146367119,483.75977677,7
Washington Square,9.49862442,115.55227783,51.586042072,42.5344754913,257.93021036,5
Beaconsfield,0.0,141.48386021,70.741930105,100.044196983,141.48386021,2
Brookline Village,0.05881866,130.91981744,50.6525802443,58.408181631,354.56806171,7
Stony Brook,0.61205117,87.9160939,29.09409875,34.0279633304,203.65869125,7
Green Street,9.57657999,89.39662183,42.0431904875,39.0649027915,168.17276195,4
Quincy Center,0.75260959,88.52700767,40.0676207475,42.2211633925,160.27048299,4
Andrew,2.40801133,95.44993297,31.7981239275,43.1527162199,127.19249571,4
Museum Of Fine Arts,0.0,60.30523177,30.1400151875,34.2692542461,120.56006075,4
Fenway Park,0.0,198.77263696,60.69956077,84.9795716999,364.19736462,6
Cedar Grove,3.02413465,30.48748635,20.3696832767,15.0910288247,61.10904983,3
North Station,51.93896168,164.93412586,108.43654377,79.899646833,216.87308754,2
Lechmere,8.53066147,108.7464555,40.1513212575,46.575472874,160.60528503,4
Brookline Hills,1.09358629,31.54621245,16.1736088025,14.1374180113,64.69443521,4
Milton,0.33090018,14.15920658,6.28729097,5.69641806631,31.43645485,5
Community College,0.46115542,15.55268064,8.4095361325,6.87641313019,33.63814453,4
Boston College,0.0,19.08846205,7.28534524333,7.17513679794,43.71207146,6
Quincy Adams,6.02376875,61.4786503,23.050946435,25.8193211708,92.20378574,4
Airport,1.10014391,91.71275735,46.40645063,64.0727934245,92.81290126,2
Fairbanks Street,0.06514798,214.74216221,103.89200023,99.7609448929,415.56800092,4
Longwood,0.0,94.25225579,29.905847715,43.6359014439,179.43508629,6
Blandford Street,0.0,131.20580603,33.6042158314,47.3345234588,235.22951082,7
Government Center,25.15707276,145.87228932,70.78723497,65.526589111,212.36170491,3
Allston Street,1.80451169,261.6108215,91.8251598789,103.869848176,826.42643891,9
Park Street,0.0,222.27897092,60.656719846,94.5379820639,303.28359923,5
Wollaston,6.43726601,43.18300344,23.479935438,16.9266909572,117.39967719,5
Malden Center,32.21539671,79.99489352,56.3518703625,26.8001580611,225.40748145,4
