category,min,max,mean,stddev,sum,count
South Street,3.31405697,45.88818262,24.87815376,21.2924701988,74.63446128,3
Kent Street,69.97761925,145.79177353,107.88469639,53.6087026013,215.76939278,2
Longwood Medical Area,0.0,2.84175174,0.973206898333,1.35032511881,5.83924139,6
Central Avenue,6.11970904,25.43526604,15.347449202,8.70432303156,76.73724601,5
Arlington,0.0,115.49983923,50.9615391,47.8916477857,203.8461564,4
Woodland,1.22797774,27.26239158,13.87036765,13.0333855683,41.61110295,3
Harvard Avenue,0.0,21.5622323,4.93517192857,7.62985941665,34.5462035,7
Wood Island,0.00066292,24.17493453,8.520874725,11.1068533802,34.0834989,4
Capen Street,84.5845185,84.5845185,84.5845185,nan,84.5845185,1
Beachmont,0.0,38.5093784,17.725805544,14.6886114182,88.62902772,5
Ashmont,0.01095611,142.07280304,28.232356985,56.0617381486,169.39414191,6
Maverick,0.04202588,65.99365592,27.146659492,30.0453752218,135.73329746,5
Porter,2.60130009,65.47311785,29.9296489483,21.6367539268,179.57789369,6
Boston University Central,0.0,6.82413559,2.39373802833,2.9282832367,14.36242817,6
Boylston,0.0,177.43511198,37.8125186886,67.7068357062,264.68763082,7
Mattapan,2.29648642,29.61553812,12.190157262,10.9540058223,60.95078631,5
Warren Street,0.0,44.14658876,13.175523214,18.5794847689,65.87761607,5
Aquarium,1.4526395,123.67573189,51.1246553933,64.2433626059,153.37396618,3
JFK/UMass,0.0,48.38245592,12.2414865471,18.6335434383,85.69040583,7
Prudential,0.0,68.96791524,21.4554856729,24.5006162662,150.18839971,7
Bowdoin,0.0,38.79846524,18.6085343025,19.9445896819,74.43413721,4
Packards Corner,0.0,54.41787887,12.0194705083,20.9670715974,72.11682305,6
Chinatown,0.0,169.78541673,29.7742897956,58.0163415701,267.96860816,9
Shawmut,0.10287652,81.09344043,28.06489004,35.6963912291,168.38934024,6
Assembly,0.0,0.0,0.0,nan,0.0,1
Newton Highlands,9.85055954,69.92772552,39.88914253,42.4809714589,79.77828506,2
Oak Grove,46.37067647,51.63170914,49.001192805,3.720111877,98.00238561,2
Boston University East,0.0,26.17449796,4.60499452833,10.578701675,27.62996717,6
Griggs Street,0.0,26.88727852,8.99015765667,11.6898652702,53.94094594,6
Sullivan Square,0.09971047,13.15453913,7.416466155,6.43704484151,29.66586462,4
Northeastern,0.0,52.64157208,15.95609322,25.0186763666,63.82437288,4
Brandon Hall,1.54009215,116.47696346,49.7575147025,56.9475401553,199.03005881,4
Copley,1.63218194,95.41956799,28.795549416,38.6164884288,143.97774708,5
Broadway,52.95924432,52.95924432,52.95924432,nan,52.95924432,1
Eliot,19.55173687,61.01618956,40.283963215,29.3197956753,80.56792643,2
Kenmore,0.0,30.64213079,10.1500126783,14.3024083352,60.90007607,6
Massachusetts Ave,0.0,97.6871808,22.1969514537,34.2206530215,177.57561163,8
Chestnut Hill Avenue,1.3321027,65.41530209,29.4397758225,32.2252068581,117.75910329,4
Tufts Medical Center,2.53761635,33.87043433,17.588703615,14.1001230158,70.35481446,4
State,0.0,31.57834476,11.57103506,14.3030772428,46.28414024,4
Downtown Crossing,0.0,41.29449612,14.715069048,20.0864427229,73.57534524,5
Hynes Convention Center,0.0,101.95935124,27.3573249625,40.3409749252,218.8585997,8
Fields Corner,0.17479147,43.47306189,18.088302582,16.4118944832,90.44151291,5
Butler,2.92192804,27.12544887,15.023688455,17.1144737075,30.04737691,2
Kendall/MIT,0.0,10.96356516,5.178009785,5.94892702519,20.71203914,4
Fenwood Road,1.64695548,11.28875025,6.63522119,4.35706827161,26.54088476,4
Forest Hills,0.0,32.58444655,11.2626701457,11.8485561549,78.83869102,7
Alewife,5.41e-06,39.43760811,13.34178439,22.601556796,40.02535317,3
Cleveland Circle,0.11657727,54.890823,19.79142731,22.6285449877,138.53999117,7
Harvard,0.0,32.07419847,7.492673822,13.9382258794,37.46336911,5
Back Bay,0.49027159,133.07819478,45.90535777,53.0538248122,229.52678885,5
Suffolk Downs,0.0,52.31477755,13.10149172,26.1422258963,52.40596688,4
Summit Ave/Winchester St,10.4159533,107.08408335,57.920969175,40.0639384295,231.6838767,4
Tappan Street,9.52588143,53.75321902,34.95066985,16.8688511488,174.75334925,5
Riverway,0.05653207,91.58431438,24.2438998929,35.5802775217,169.70729925,7
Central,0.0,58.34900697,13.45876664,19.8764868193,107.67013312,8
North Quincy,0.96700828,38.16490332,16.40879592,18.1319001292,65.63518368,4
Mission Park,0.06373257,48.41446375,14.192772298,19.9176003717,70.96386149,5
Savin Hill,5.72128325,17.33523989,12.4907601525,4.88185522408,49.96304061,4
Valley Road,18.97213114,34.44206213,25.6818019667,7.93620681936,77.0454059,3
Dean Road,91.1827489,101.34041054,96.26157972,7.18255142664,192.52315944,2
Davis,1.01743641,69.17095455,28.309187,27.8260237308,169.855122,6
Chestnut Hill,1.71704715,12.27316352,6.24913905667,5.43390239786,18.74741717,3
Roxbury Crossing,0.0,28.5138348,6.80282217667,10.9547575605,40.81693306,6
Saint Marys Street,0.0,23.89966844,9.48154885333,11.2071144726,56.88929312,6
Washington Street,0.0,33.5970243,14.9283104583,16.3845363953,89.56986275,6
Back Of The Hill,0.06160345,123.39222029,27.0627487717,48.7434792138,162.37649263,6
Wonderland,54.40559509,54.40559509,54.40559509,nan,54.40559509,1
Orient Heights,1.11568406,43.30795753,21.7687636467,21.1100896268,65.30629094,3
Riverside,17.64223484,17.64223484,17.64223484,nan,17.64223484,1
Newton Centre,7.62193097,70.80099383,29.57718511,35.7261303904,88.73155533,3
Coolidge Corner,0.31887875,197.58724977,65.495277802,80.363467163,327.47638901,5
Babcock Street,0.0,70.81545265,14.2932380483,27.8098390611,85.75942829,6
Science Park,0.0,193.94156612,45.539473598,83.5765819548,227.69736799,5
Hawes Street,0.29942665,84.77665725,42.0713474925,40.3599334984,168.28538997,4
Haymarket,1.62172582,77.99417483,31.2281968225,33.9242284533,124.91278729,4
Waban,4.43485785,37.3584891,14.3228640825,15.609096988,57.29145633,4
Wellington,0.00038949,62.01310994,31.006749715,43.84961515,62.01349943,2
South Station,3.63408977,72.63916398,38.136626875,48.7939559102,76.27325375,2
Boston University West,0.0,62.89895572,12.654587372,28.0876228296,63.27293686,5
Pleasant Street,0.0,36.46066142,11.347744874,16.5431004217,56.73872437,5
Ruggles,0.0,11.42796247,2.297963134,5.10389459073,11.48981567,5
Braintree,0.05818426,15.44589113,9.49522714667,8.26507768097,28.48568144,3
Heath Street,0.16548921,98.61841712,32.458680192,40.0799334907,162.29340096,5
Sutherland Road,0.0,62.91094899,23.2543950314,26.1011839962,162.78076522,7
Reservoir,0.71009361,69.50834744,26.865312654,26.4642162343,134.32656327,5
Charles/MGH,0.0,124.14570687,21.6534335583,50.2211603486,129.92060135,6
