category,min,max,mean,stddev,sum,count
South Street,43.08274063,209.75028196,124.239634277,83.4190248918,372.71890283,3
Kent Street,151.5263409,262.318775,206.92255795,78.3420814563,413.8451159,2
Longwood Medical Area,6.24253662,231.05151937,69.10515995,85.8298099707,414.6309597,6
Central Avenue,8.85747361,49.73625774,27.899565454,18.7221222351,139.49782727,5
Arlington,0.0,202.58598,97.81611929,83.2125499411,391.26447716,4
Woodland,2.56476363,27.74208175,19.0420562633,14.2772108667,57.12616879,3
Harvard Avenue,0.00042085,265.66006811,136.567266336,91.5165522099,955.97086435,7
Wood Island,0.00195407,107.80047336,32.8490441,50.8893019504,131.3961764,4
Capen Street,150.7810982,150.7810982,150.7810982,nan,150.7810982,1
Beachmont,0.0,65.8796804,38.78819502,29.6862571626,193.9409751,5
Ashmont,0.05577656,265.98592449,54.324565155,104.79617738,325.94739093,6
Maverick,0.21012942,281.97289349,135.565250658,110.873809528,677.82625329,5
Porter,9.36973138,132.70221971,77.4813309617,45.4044783416,464.88798577,6
Boston University Central,0.0,43.85698833,23.1548246617,20.5574189199,138.92894797,6
Boylston,0.0,371.32520164,131.936127149,161.294804782,923.55289004,7
Mattapan,3.36535798,134.75069844,39.795556448,53.8353416169,198.97778224,5
Warren Street,0.28591238,377.03573105,122.850249266,146.819113431,614.25124633,5
Aquarium,5.53818808,258.51288355,117.04131927,129.122536272,351.12395781,3
JFK/UMass,0.0,134.04319756,32.5866982943,46.9050858527,228.10688806,7
Prudential,0.17759502,376.86039397,145.490608091,142.973314685,1018.43425664,7
Bowdoin,2.3049073,141.63144641,68.84767292,71.3130237112,275.39069168,4
Packards Corner,1.94881544,214.0819287,108.83098251,88.7554776492,652.98589506,6
Chinatown,0.0,395.99901303,142.695322122,156.52443626,1284.2578991,9
Shawmut,0.16353204,119.86827291,51.8054201883,55.1674611816,310.83252113,6
Assembly,0.0,0.0,0.0,nan,0.0,1
Newton Highlands,12.34764194,115.22873031,63.788186125,72.7479152423,127.57637225,2
Oak Grove,120.06693015,187.23384915,153.65038965,47.4941838963,307.3007793,2
Boston University East,0.0,157.04698776,37.5399088883,61.0287616055,225.23945333,6
Griggs Street,53.51836441,296.07459262,190.713715582,93.0459772423,1144.28229349,6
Sullivan Square,0.34581666,37.91335202,20.84471416,16.9372764784,83.37885664,4
Northeastern,1.95226247,214.73591779,96.764651135,90.0674928435,387.05860454,4
Brandon Hall,3.09120464,339.31725926,156.316328745,175.137250002,625.26531498,4
Copley,3.91478224,248.47575591,102.811426648,116.209203488,514.05713324,5
Broadway,131.46900124,131.46900124,131.46900124,nan,131.46900124,1
Eliot,31.50592382,64.42111085,47.963517335,23.2745519529,95.92703467,2
Kenmore,0.0,299.21139478,93.3837754267,136.977343609,560.30265256,6
Massachusetts Ave,0.44154231,366.89487671,131.909779135,146.96203605,1055.27823308,8
Chestnut Hill Avenue,8.66809386,576.78008299,249.388952823,282.919465208,997.55581129,4
Tufts Medical Center,9.56641082,331.51970574,191.807170727,134.776091054,767.22868291,4
State,18.05749141,267.17600433,114.865884048,114.177250217,459.46353619,4
Downtown Crossing,0.0,213.32686292,74.004435556,86.5636364189,370.02217778,5
Hynes Convention Center,17.81426091,307.91724073,110.673057161,96.9594675516,885.38445729,8
Fields Corner,0.92162777,176.21204077,66.211283724,67.0555642662,331.05641862,5
Butler,5.87494043,83.8305539,44.852747165,55.1229429162,89.70549433,2
Kendall/MIT,0.98563081,70.75455456,28.5632512425,29.8468605295,114.25300497,4
Fenwood Road,27.99824313,257.41315696,141.942088555,94.9823695706,567.76835422,4
Forest Hills,0.0,79.05734573,31.76388234,28.1587802701,222.34717638,7
Alewife,1.326e-05,94.57368158,31.7925800567,54.3715150447,95.37774017,3
Cleveland Circle,1.51550455,151.36560283,54.6204537614,56.7941444941,382.34317633,7
Harvard,0.0,150.12506785,45.82255379,64.4692671852,229.11276895,5
Back Bay,0.84734801,542.98750063,200.627973166,204.335452441,1003.13986583,5
Suffolk Downs,0.0,130.46401316,32.6927113,65.1810283931,130.7708452,4
Summit Ave/Winchester St,34.67108051,285.52563917,162.326546318,110.393372524,649.30618527,4
Tappan Street,29.29320344,95.63072686,63.76196756,26.5672377853,318.8098378,5
Riverway,0.24250839,290.77149243,116.191979036,128.063801303,813.34385325,7
Central,1.21017737,374.35489711,86.7210209325,128.35958086,693.76816746,8
North Quincy,3.54250556,84.41399799,37.04817865,39.6937778318,148.1927146,4
Mission Park,0.06373257,719.20145016,208.380552994,296.600424564,1041.90276497,5
Savin Hill,10.23010911,71.84295295,38.4774818025,28.1365045132,153.90992721,4
Valley Road,28.34063579,61.39671946,43.3255444633,16.7427580393,129.97663339,3
Dean Road,165.79589224,168.00337984,166.89963604,1.56092945135,333.79927208,2
Davis,2.4632671,218.78742453,78.05738078,85.0684115162,468.34428468,6
Chestnut Hill,1.89778896,18.26007255,8.93234660333,8.41873189503,26.79703981,3
Roxbury Crossing,3.52624721,127.36179546,46.589127125,48.5680141769,279.53476275,6
Saint Marys Street,0.31062099,230.19154337,63.720663235,89.9309649378,382.32397941,6
Washington Street,3.24096974,297.65651004,127.818656223,118.977593496,766.91193734,6
Back Of The Hill,0.41433122,391.75857012,87.8950331017,156.175620374,527.37019861,6
Wonderland,118.91865165,118.91865165,118.91865165,nan,118.91865165,1
Orient Heights,3.45474369,145.72174387,62.81762195,73.9974151565,188.45286585,3
Riverside,36.84770568,36.84770568,36.84770568,nan,36.84770568,1
Newton Centre,10.0553548,86.59768426,36.7708713367,43.1888997926,110.31261401,3
