GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Total: - Less than $10,000","Margin of Error; Total: - Less than $10,000","Estimate; Total: - $10,000 to $14,999","Margin of Error; Total: - $10,000 to $14,999","Estimate; Total: - $15,000 to $19,999","Margin of Error; Total: - $15,000 to $19,999","Estimate; Total: - $20,000 to $24,999","Margin of Error; Total: - $20,000 to $24,999","Estimate; Total: - $25,000 to $29,999","Margin of Error; Total: - $25,000 to $29,999","Estimate; Total: - $30,000 to $34,999","Margin of Error; Total: - $30,000 to $34,999","Estimate; Total: - $35,000 to $39,999","Margin of Error; Total: - $35,000 to $39,999","Estimate; Total: - $40,000 to $44,999","Margin of Error; Total: - $40,000 to $44,999","Estimate; Total: - $45,000 to $49,999","Margin of Error; Total: - $45,000 to $49,999","Estimate; Total: - $50,000 to $59,999","Margin of Error; Total: - $50,000 to $59,999","Estimate; Total: - $60,000 to $74,999","Margin of Error; Total: - $60,000 to $74,999","Estimate; Total: - $75,000 to $99,999","Margin of Error; Total: - $75,000 to $99,999","Estimate; Total: - $100,000 to $124,999","Margin of Error; Total: - $100,000 to $124,999","Estimate; Total: - $125,000 to $149,999","Margin of Error; Total: - $125,000 to $149,999","Estimate; Total: - $150,000 to $199,999","Margin of Error; Total: - $150,000 to $199,999","Estimate; Total: - $200,000 or more","Margin of Error; Total: - $200,000 or more"
1500000US250173001001,250173001001,"Block Group 1, Census Tract 3001, Middlesex County, Massachusetts",543,59,9,10,4,5,0,12,27,25,10,11,20,26,18,13,5,8,28,20,23,15,102,51,95,36,60,25,72,37,55,31,15,13
1500000US250173001002,250173001002,"Block Group 2, Census Tract 3001, Middlesex County, Massachusetts",505,58,9,9,19,24,12,13,13,15,25,23,15,12,29,25,8,11,31,30,21,25,36,22,83,35,105,41,51,26,33,27,15,13
1500000US250173011011,250173011011,"Block Group 1, Census Tract 3011.01, Middlesex County, Massachusetts",633,96,29,46,33,40,9,14,12,18,0,12,9,15,20,32,0,12,9,14,94,64,88,43,109,50,46,30,82,48,67,42,26,23
1500000US250173011012,250173011012,"Block Group 2, Census Tract 3011.01, Middlesex County, Massachusetts",432,83,7,10,0,12,8,14,22,24,20,31,9,15,0,12,0,12,27,33,32,26,92,72,72,37,16,18,38,30,82,47,7,10
1500000US250173011013,250173011013,"Block Group 3, Census Tract 3011.01, Middlesex County, Massachusetts",480,79,40,31,25,28,9,13,0,12,34,28,16,18,41,42,0,12,7,11,59,46,69,53,77,56,75,55,12,18,16,18,0,12
1500000US250173011021,250173011021,"Block Group 1, Census Tract 3011.02, Middlesex County, Massachusetts",494,53,0,12,0,12,0,12,27,25,10,16,20,21,17,19,10,15,10,16,48,52,60,44,69,44,69,52,47,29,77,40,30,26
1500000US250173011022,250173011022,"Block Group 2, Census Tract 3011.02, Middlesex County, Massachusetts",681,76,10,16,0,12,9,16,0,12,28,30,38,35,9,15,0,12,28,35,13,17,81,44,111,43,134,53,47,27,107,47,66,46
1500000US250173011023,250173011023,"Block Group 3, Census Tract 3011.02, Middlesex County, Massachusetts",556,80,0,12,0,12,9,14,0,12,39,29,47,52,21,23,19,23,7,12,37,32,66,40,75,43,48,38,66,41,31,25,91,51
1500000US250173101001,250173101001,"Block Group 1, Census Tract 3101, Middlesex County, Massachusetts",623,122,76,74,113,85,39,25,31,37,0,12,24,28,55,59,34,56,82,72,12,20,80,77,62,59,0,12,0,12,0,12,15,23
1500000US250173101002,250173101002,"Block Group 2, Census Tract 3101, Middlesex County, Massachusetts",1123,143,222,85,97,81,52,61,48,48,88,53,41,31,58,50,83,59,0,12,15,25,111,67,117,63,93,89,26,37,53,55,19,28
1500000US250173101003,250173101003,"Block Group 3, Census Tract 3101, Middlesex County, Massachusetts",1043,159,182,94,148,93,55,44,122,100,29,32,149,101,29,47,11,18,105,91,0,12,83,77,27,30,30,49,12,20,47,64,14,23
1500000US250173102001,250173102001,"Block Group 1, Census Tract 3102, Middlesex County, Massachusetts",422,127,12,21,14,24,0,12,0,12,0,12,24,26,47,50,15,25,22,29,10,18,17,27,67,82,83,59,93,91,18,31,0,12
1500000US250173102002,250173102002,"Block Group 2, Census Tract 3102, Middlesex County, Massachusetts",301,125,0,12,0,12,13,22,0,12,13,21,60,49,0,12,0,12,0,12,0,12,13,20,32,35,15,26,49,50,106,109,0,12
1500000US250173102003,250173102003,"Block Group 3, Census Tract 3102, Middlesex County, Massachusetts",751,189,0,12,0,12,74,79,0,12,0,12,156,122,0,12,0,12,26,31,254,182,49,78,43,64,129,143,6,21,14,22,0,12
1500000US250173102004,250173102004,"Block Group 4, Census Tract 3102, Middlesex County, Massachusetts",365,175,20,34,25,34,0,12,14,25,0,12,0,12,0,12,49,77,0,12,140,134,9,39,92,99,0,12,16,26,0,12,0,12
1500000US250173102005,250173102005,"Block Group 5, Census Tract 3102, Middlesex County, Massachusetts",321,104,49,66,30,36,14,23,34,38,12,19,18,30,14,22,16,26,31,39,0,12,29,36,18,22,30,36,16,24,10,18,0,12
1500000US250173103001,250173103001,"Block Group 1, Census Tract 3103, Middlesex County, Massachusetts",460,124,59,64,53,51,71,68,37,36,11,17,38,40,9,15,0,12,13,21,22,27,22,25,19,21,94,106,12,19,0,12,0,12
1500000US250173103002,250173103002,"Block Group 2, Census Tract 3103, Middlesex County, Massachusetts",623,145,154,104,40,46,0,12,60,69,55,83,0,12,37,58,76,72,0,12,67,70,44,36,41,49,49,56,0,12,0,12,0,12
1500000US250173103003,250173103003,"Block Group 3, Census Tract 3103, Middlesex County, Massachusetts",345,113,11,17,22,38,32,53,37,45,12,20,23,27,0,12,13,21,11,19,24,19,53,37,55,95,20,32,10,17,22,20,0,12
1500000US250173103004,250173103004,"Block Group 4, Census Tract 3103, Middlesex County, Massachusetts",248,94,59,68,0,12,31,24,0,12,0,12,0,12,10,16,26,31,0,12,51,63,35,41,17,31,10,17,0,12,9,14,0,12
1500000US250173103005,250173103005,"Block Group 5, Census Tract 3103, Middlesex County, Massachusetts",451,182,34,54,39,55,0,12,52,66,0,12,8,13,0,12,13,20,0,12,29,29,45,51,32,26,112,153,14,15,0,12,73,90
1500000US250173104001,250173104001,"Block Group 1, Census Tract 3104, Middlesex County, Massachusetts",559,102,86,71,35,34,38,40,98,70,46,52,43,36,5,9,0,12,23,36,75,70,30,33,0,12,7,11,17,24,56,56,0,12
1500000US250173104002,250173104002,"Block Group 2, Census Tract 3104, Middlesex County, Massachusetts",326,66,8,14,13,15,30,38,62,41,18,19,26,30,32,40,18,28,7,11,12,13,39,27,15,15,26,30,13,15,7,15,0,12
1500000US250173104003,250173104003,"Block Group 3, Census Tract 3104, Middlesex County, Massachusetts",273,89,20,24,53,54,33,39,8,13,27,45,13,19,0,12,23,27,34,38,5,8,16,24,29,30,7,11,5,10,0,12,0,12
1500000US250173105001,250173105001,"Block Group 1, Census Tract 3105, Middlesex County, Massachusetts",215,58,9,16,0,12,17,19,20,23,0,12,0,12,7,12,9,13,0,12,44,44,37,37,24,20,18,21,14,23,16,19,0,12
1500000US250173105002,250173105002,"Block Group 2, Census Tract 3105, Middlesex County, Massachusetts",482,79,8,13,26,26,0,12,48,54,114,68,14,16,0,12,25,28,9,13,74,60,51,37,41,50,38,30,27,43,7,14,0,12
1500000US250173105003,250173105003,"Block Group 3, Census Tract 3105, Middlesex County, Massachusetts",431,84,102,75,7,11,40,41,8,14,32,47,0,12,6,11,8,12,0,12,50,42,43,31,66,49,46,35,16,19,7,12,0,12
1500000US250173106011,250173106011,"Block Group 1, Census Tract 3106.01, Middlesex County, Massachusetts",855,147,51,46,60,38,67,73,8,14,84,78,32,40,86,83,26,42,9,15,100,85,58,45,89,75,114,102,43,64,28,41,0,12
1500000US250173106012,250173106012,"Block Group 2, Census Tract 3106.01, Middlesex County, Massachusetts",973,143,39,43,66,69,73,70,0,12,32,40,26,22,0,12,18,31,32,48,19,30,35,41,284,132,128,71,146,86,7,12,68,73
1500000US250173106013,250173106013,"Block Group 3, Census Tract 3106.01, Middlesex County, Massachusetts",204,65,0,12,9,14,19,22,10,18,25,30,0,12,22,30,21,33,0,12,0,12,9,15,47,43,10,20,20,30,0,12,12,20
1500000US250173106021,250173106021,"Block Group 1, Census Tract 3106.02, Middlesex County, Massachusetts",594,136,0,12,88,86,14,23,60,79,67,66,10,16,0,12,40,49,25,33,30,37,44,43,117,80,66,69,33,33,0,12,0,12
1500000US250173106022,250173106022,"Block Group 2, Census Tract 3106.02, Middlesex County, Massachusetts",454,110,39,43,32,36,30,33,29,34,21,31,13,24,0,12,14,21,0,12,24,28,95,65,84,62,28,37,17,26,28,41,0,12
1500000US250173106023,250173106023,"Block Group 3, Census Tract 3106.02, Middlesex County, Massachusetts",262,94,0,12,44,71,15,25,0,12,17,26,0,12,27,31,19,29,31,49,0,12,27,34,52,61,17,31,0,12,13,21,0,12
1500000US250173106024,250173106024,"Block Group 4, Census Tract 3106.02, Middlesex County, Massachusetts",705,151,62,69,98,122,14,23,77,70,27,33,16,26,0,12,0,12,0,12,26,30,68,66,153,98,74,68,0,12,61,52,29,33
1500000US250173107001,250173107001,"Block Group 1, Census Tract 3107, Middlesex County, Massachusetts",459,82,63,47,52,37,32,32,13,22,21,24,20,32,22,32,20,22,34,29,1,6,75,50,66,38,28,26,12,23,0,12,0,12
1500000US250173107002,250173107002,"Block Group 2, Census Tract 3107, Middlesex County, Massachusetts",395,80,55,48,8,12,12,18,0,12,7,12,80,67,20,31,46,44,0,12,33,31,84,61,21,33,14,15,15,21,0,12,0,12
1500000US250173107003,250173107003,"Block Group 3, Census Tract 3107, Middlesex County, Massachusetts",532,87,70,52,73,45,38,29,91,59,0,12,28,34,26,25,0,12,26,31,44,47,53,40,32,30,11,19,22,25,8,13,10,16
1500000US250173111001,250173111001,"Block Group 1, Census Tract 3111, Middlesex County, Massachusetts",308,48,23,19,23,21,8,14,42,30,35,24,10,15,8,14,0,12,39,31,30,21,32,21,31,22,18,16,0,12,9,13,0,12
1500000US250173111002,250173111002,"Block Group 2, Census Tract 3111, Middlesex County, Massachusetts",475,62,30,29,12,13,25,18,35,23,55,30,47,28,10,17,23,21,32,25,71,48,10,11,55,35,27,19,25,23,4,6,14,13
1500000US250173112001,250173112001,"Block Group 1, Census Tract 3112, Middlesex County, Massachusetts",565,99,118,67,57,53,54,61,12,19,29,33,27,27,27,32,9,17,27,39,37,41,46,36,77,43,28,29,0,12,12,18,5,8
1500000US250173112002,250173112002,"Block Group 2, Census Tract 3112, Middlesex County, Massachusetts",478,80,34,26,49,46,17,27,29,26,29,27,20,22,33,38,17,20,49,45,37,29,51,44,40,28,53,44,0,12,15,17,5,12
1500000US250173113001,250173113001,"Block Group 1, Census Tract 3113, Middlesex County, Massachusetts",466,92,25,38,49,46,10,17,61,57,26,31,41,48,9,14,64,62,27,45,18,19,37,31,0,12,21,22,17,20,44,51,17,19
1500000US250173113002,250173113002,"Block Group 2, Census Tract 3113, Middlesex County, Massachusetts",419,98,9,13,16,19,39,43,7,11,53,43,39,45,37,25,0,12,37,36,18,25,80,65,39,33,0,12,29,27,7,11,9,14
1500000US250173113003,250173113003,"Block Group 3, Census Tract 3113, Middlesex County, Massachusetts",389,87,6,10,25,35,8,13,34,43,7,11,39,38,0,12,14,17,9,14,8,12,34,29,91,69,28,24,32,28,8,12,46,48
1500000US250173114001,250173114001,"Block Group 1, Census Tract 3114, Middlesex County, Massachusetts",261,81,0,12,37,40,48,48,0,12,8,14,0,12,9,15,11,17,0,12,8,14,53,50,35,37,20,23,25,30,7,15,0,12
1500000US250173114002,250173114002,"Block Group 2, Census Tract 3114, Middlesex County, Massachusetts",239,87,23,36,0,12,0,12,0,12,10,16,0,12,77,75,0,12,0,12,31,30,7,13,0,12,41,59,33,42,7,17,10,19
1500000US250173114003,250173114003,"Block Group 3, Census Tract 3114, Middlesex County, Massachusetts",930,171,95,82,19,26,62,56,76,86,18,30,46,48,101,76,13,21,56,60,124,84,112,89,97,63,67,86,18,29,26,40,0,12
1500000US250173114004,250173114004,"Block Group 4, Census Tract 3114, Middlesex County, Massachusetts",957,188,69,54,77,74,115,95,61,56,27,45,0,12,50,58,77,68,90,92,136,113,64,83,74,63,82,57,25,40,10,18,0,12
1500000US250173115001,250173115001,"Block Group 1, Census Tract 3115, Middlesex County, Massachusetts",276,59,0,12,0,12,10,15,18,20,22,29,0,12,0,12,25,40,0,12,73,67,36,29,57,46,13,17,6,10,4,8,12,18
1500000US250173115002,250173115002,"Block Group 2, Census Tract 3115, Middlesex County, Massachusetts",395,70,31,38,12,18,26,26,15,18,0,12,10,18,23,24,9,15,58,50,18,17,24,25,59,36,34,32,16,21,48,43,12,16
1500000US250173115003,250173115003,"Block Group 3, Census Tract 3115, Middlesex County, Massachusetts",269,63,18,20,15,17,10,16,0,12,33,34,17,19,0,12,4,7,0,12,10,16,43,34,36,25,25,22,11,16,36,28,11,17
1500000US250173116001,250173116001,"Block Group 1, Census Tract 3116, Middlesex County, Massachusetts",557,84,43,52,0,12,26,25,12,18,9,14,0,12,28,26,0,12,73,52,67,41,8,13,38,32,101,68,36,30,77,52,39,28
1500000US250173116002,250173116002,"Block Group 2, Census Tract 3116, Middlesex County, Massachusetts",502,68,11,16,0,12,20,21,26,39,20,22,9,14,0,12,0,12,67,57,57,34,57,30,121,65,22,24,35,30,50,32,7,12
1500000US250173116003,250173116003,"Block Group 3, Census Tract 3116, Middlesex County, Massachusetts",224,48,10,16,10,16,10,15,0,12,10,15,11,16,0,12,10,15,0,12,25,22,0,12,41,40,33,31,17,21,16,19,31,24
1500000US250173116004,250173116004,"Block Group 4, Census Tract 3116, Middlesex County, Massachusetts",426,95,135,84,0,12,19,22,11,17,34,53,9,15,0,12,50,44,0,12,20,21,70,68,48,35,30,32,0,12,0,12,0,12
